time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-02-01T00:00:00.0000000Z,2019-02-01T01:00:00.0000000Z,2019-02-01T00:00:00.0000000Z,2019-02-01T00:59:58.6240000Z,3413.69,4801.89,3302.01111,3410.62,16176.1122,5239
2019-02-01T01:00:00.0000000Z,2019-02-01T02:00:00.0000000Z,2019-02-01T01:00:00.0000000Z,2019-02-01T01:59:58.0000000Z,3496,5575.47,2197.12,3387.2,17787.21738,8078
2019-02-01T02:00:00.0000000Z,2019-02-01T03:00:00.0000000Z,2019-02-01T02:00:00.0000000Z,2019-02-01T02:59:59.1200000Z,3476,4055.97,2191.11,3388.21,14935.60829,4863
2019-02-01T03:00:00.0000000Z,2019-02-01T04:00:00.0000000Z,2019-02-01T03:00:00.0000000Z,2019-02-01T03:59:59.4890000Z,3480.7,5519.47,2175.06,3395.34,15145.67548,4217
2019-02-01T04:00:00.0000000Z,2019-02-01T05:00:00.0000000Z,2019-02-01T04:00:00.0000000Z,2019-02-01T04:59:57.0000000Z,3394.48,4055.93,3302.00001,3388.19,14572.54123,3339
2019-02-01T05:00:00.0000000Z,2019-02-01T06:00:00.0000000Z,2019-02-01T05:00:02.0000000Z,2019-02-01T05:59:59.4910000Z,3478.4,4056.33,3322.40003,3394.02,12988.44231,3028
2019-02-01T06:00:00.0000000Z,2019-02-01T07:00:00.0000000Z,2019-02-01T06:00:00.3530000Z,2019-02-01T06:59:59.0000000Z,3394.02,4053.97,3302.56,4051.75,11399.31467,3099
2019-02-01T07:00:00.0000000Z,2019-02-01T08:00:00.0000000Z,2019-02-01T07:00:00.0000000Z,2019-02-01T07:59:59.0000000Z,3698,4053.22,2952.63,3712,17215.16712,6224
2019-02-01T08:00:00.0000000Z,2019-02-01T09:00:00.0000000Z,2019-02-01T08:00:02.0000000Z,2019-02-01T08:59:59.0000000Z,3470.8,4467.2,3210.8,3354.49,14957.9684,4368
2019-02-01T09:00:00.0000000Z,2019-02-01T10:00:00.0000000Z,2019-02-01T09:00:00.0000000Z,2019-02-01T09:59:59.0000000Z,3354.49,4450,2764.74,3472.2,14521.56922,3526
2019-02-01T10:00:00.0000000Z,2019-02-01T11:00:00.0000000Z,2019-02-01T10:00:01.0000000Z,2019-02-01T10:59:59.7920000Z,3396.99273,4405.51,3293.33333,3403.87,15390.41941,3831
