time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-02-01T00:00:00.0000000Z,2019-02-01T01:00:00.0000000Z,2019-02-01T00:00:00.0000000Z,2019-02-01T00:59:56.8440000Z,105.84,115.8989798,103.34642,105.25,15306.01465,2118
2019-02-01T01:00:00.0000000Z,2019-02-01T02:00:00.0000000Z,2019-02-01T01:00:01.4630000Z,2019-02-01T01:59:59.3180000Z,105.31,115.01,101.56001,103.26,76449.76249,8277
2019-02-01T02:00:00.0000000Z,2019-02-01T03:00:00.0000000Z,2019-02-01T02:00:00.1500000Z,2019-02-01T02:59:51.1550000Z,103.23,114.9999999,101.30185,103.73,24897.83393,3262
2019-02-01T03:00:00.0000000Z,2019-02-01T04:00:00.0000000Z,2019-02-01T03:00:03.0000000Z,2019-02-01T03:59:58.9570000Z,106.38,114.9084122,103.66946,104.2,13256.61415,2030
2019-02-01T04:00:00.0000000Z,2019-02-01T05:00:00.0000000Z,2019-02-01T04:00:00.4540000Z,2019-02-01T04:59:57.0000000Z,104.08,115.4998801,103.33,113.8465446,10376.78714,2148
2019-02-01T05:00:00.0000000Z,2019-02-01T06:00:00.0000000Z,2019-02-01T05:00:03.0000000Z,2019-02-01T05:59:51.1920000Z,106.5,114,102.15319,103.94,6840.788744,1669
2019-02-01T06:00:00.0000000Z,2019-02-01T07:00:00.0000000Z,2019-02-01T06:00:00.0000000Z,2019-02-01T06:59:59.0000000Z,106.72,114.6999901,101.49483,104.19,7856.088726,1585
2019-02-01T07:00:00.0000000Z,2019-02-01T08:00:00.0000000Z,2019-02-01T07:00:00.0000000Z,2019-02-01T07:59:58.0000000Z,106.92,114.5319901,101.302,106.15,30112.39761,3842
2019-02-01T08:00:00.0000000Z,2019-02-01T09:00:00.0000000Z,2019-02-01T08:00:00.0000000Z,2019-02-01T08:59:56.6300000Z,106.1414401,114.5319941,101.24071,104.54,32759.21962,3039
2019-02-01T09:00:00.0000000Z,2019-02-01T10:00:00.0000000Z,2019-02-01T09:00:00.0000000Z,2019-02-01T09:59:55.0000000Z,107.63,115.499996,102.47928,104.5,15993.50974,2427
2019-02-01T10:00:00.0000000Z,2019-02-01T11:00:00.0000000Z,2019-02-01T10:00:00.0000000Z,2019-02-01T10:59:59.4060000Z,107.4,115.0998999,100.21113,104.75,18214.94748,2326
2019-02-01T11:00:00.0000000Z,2019-02-01T12:00:00.0000000Z,2019-02-01T11:00:00.0000000Z,2019-02-01T11:59:59.6300000Z,107.6987654,115.99,100.22,105.71,65973.60955,6589
2019-02-01T12:00:00.0000000Z,2019-02-01T13:00:00.0000000Z,2019-02-01T12:00:00.0000000Z,2019-02-01T12:59:58.0570000Z,108.8562597,116,103.27381,105.6,20641.06016,3247
2019-02-01T13:00:00.0000000Z,2019-02-01T14:00:00.0000000Z,2019-02-01T13:00:00.0000000Z,2019-02-01T13:59:50.8100000Z,108.6862687,116.7875249,102.77094,106.24,16396.12534,2308
