,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Interval,Label MA
0,2019-04-01 00:00:00.000,2019-04-01 01:00:00.000,2019-04-01 00:00:00.260,2019-04-01 00:59:59.606,4095.0,4745.1,4032.6502100000002,4101.73,6069.065183895,10185,-7,
1,2019-04-01 01:00:00.000,2019-04-01 02:00:00.000,2019-04-01 01:00:00.990,2019-04-01 01:59:59.210,4111.01,4762.67,3900.0,4115.79,4387.643461342,8302,-7,
2,2019-04-01 02:00:00.000,2019-04-01 03:00:00.000,2019-04-01 02:00:00.000,2019-04-01 02:59:59.000,4097.10109183,4750.99,4042.20001,4102.1353835,2520.700255628,5581,-7,
3,2019-04-01 03:00:00.000,2019-04-01 04:00:00.000,2019-04-01 03:00:00.152,2019-04-01 03:59:59.000,4121.19,4761.77,4034.13315,4123.04,2693.911952043,5896,-7,
4,2019-04-01 04:00:00.000,2019-04-01 05:00:00.000,2019-04-01 04:00:00.000,2019-04-01 04:59:59.960,4124.02,4755.02,4058.0,4125.16,2197.304349428,5078,-7,
5,2019-04-01 05:00:00.000,2019-04-01 06:00:00.000,2019-04-01 05:00:01.000,2019-04-01 05:59:59.000,4123.74,4753.73,3900.0,4129.91400141,2387.779337476,4052,-7,
6,2019-04-01 06:00:00.000,2019-04-01 07:00:00.000,2019-04-01 06:00:04.000,2019-04-01 06:59:57.000,4122.11,4754.75,4036.32,4122.81404304,2592.1378176979997,4694,-7,
7,2019-04-01 07:00:00.000,2019-04-01 08:00:00.000,2019-04-01 07:00:00.550,2019-04-01 07:59:59.000,4128.4,4756.56,3925.0,4122.79,2874.78119408,5390,-7,
8,2019-04-01 08:00:00.000,2019-04-01 09:00:00.000,2019-04-01 08:00:00.000,2019-04-01 08:59:59.881,4122.79,4749.88,4049.14041,4120.05,2286.726691595,3835,-7,
9,2019-04-01 09:00:00.000,2019-04-01 10:00:00.000,2019-04-01 09:00:00.000,2019-04-01 09:59:59.000,4191.1,4751.79,4048.1334799999995,4215.07424754,1766.625976512,3826,-6,
10,2019-04-01 10:00:00.000,2019-04-01 11:00:00.000,2019-04-01 10:00:00.000,2019-04-01 10:59:59.866,4122.67828675,4750.78,4058.00001,4115.42,1965.843701985,4065,-6,
11,2019-04-01 11:00:00.000,2019-04-01 12:00:00.000,2019-04-01 11:00:00.110,2019-04-01 11:59:59.000,4115.29,4744.34,4063.66901,4111.03,2371.478359541,4408,-6,
12,2019-04-01 12:00:00.000,2019-04-01 13:00:00.000,2019-04-01 12:00:00.504,2019-04-01 12:59:54.000,4113.01,4754.37,4057.68734,4118.39,2571.83345204,5329,-6,
13,2019-04-01 13:00:00.000,2019-04-01 14:00:00.000,2019-04-01 13:00:00.000,2019-04-01 13:59:59.000,4240.00000009,4763.56,4060.0,4201.94231504,2577.76341983,5486,-6,
14,2019-04-01 14:00:00.000,2019-04-01 15:00:00.000,2019-04-01 14:00:00.000,2019-04-01 14:59:59.134,4116.62101301,4772.19,4060.0,4135.0,4469.98712899,8582,-6,
15,2019-04-01 15:00:00.000,2019-04-01 16:00:00.000,2019-04-01 15:00:00.000,2019-04-01 15:59:59.918,4111.9762982,4769.19,4067.79823,4138.72,3158.441067712,6511,-6,
