time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-02-01T00:00:00.0000000Z,2019-02-01T01:00:00.0000000Z,2019-02-01T00:00:00.0000000Z,2019-02-01T00:59:44.0000000Z,32.049,34.33846021,30.559354,32.112,11136.47494,746
2019-02-01T01:00:00.0000000Z,2019-02-01T02:00:00.0000000Z,2019-02-01T01:00:12.9630000Z,2019-02-01T01:59:51.7170000Z,31.236,34.33846021,30.5,30.65,42135.14212,2220
2019-02-01T02:00:00.0000000Z,2019-02-01T03:00:00.0000000Z,2019-02-01T02:00:01.0000000Z,2019-02-01T02:59:50.0000000Z,31.417,33.77899999,30,31.615,17561.06343,1158
2019-02-01T03:00:00.0000000Z,2019-02-01T04:00:00.0000000Z,2019-02-01T03:00:07.4060000Z,2019-02-01T03:59:54.0000000Z,30.82,33.86617582,30.03,30.79,11725.01497,967
2019-02-01T04:00:00.0000000Z,2019-02-01T05:00:00.0000000Z,2019-02-01T04:00:00.0000000Z,2019-02-01T04:59:57.5170000Z,30.78,33.915,29.92774,30.8,6848.357303,721
2019-02-01T05:00:00.0000000Z,2019-02-01T06:00:00.0000000Z,2019-02-01T05:00:22.3400000Z,2019-02-01T05:59:55.0000000Z,30.8,33.932,30.58,30.8,12514.17498,861
2019-02-01T06:00:00.0000000Z,2019-02-01T07:00:00.0000000Z,2019-02-01T06:00:30.7000000Z,2019-02-01T06:59:44.0000000Z,30.81,33.81299998,30.094184,33.626,7663.742309,616
2019-02-01T07:00:00.0000000Z,2019-02-01T08:00:00.0000000Z,2019-02-01T07:00:12.3660000Z,2019-02-01T07:59:58.0000000Z,30.9,33.56000004,30.048215,30.75,13616.15307,1230
2019-02-01T08:00:00.0000000Z,2019-02-01T09:00:00.0000000Z,2019-02-01T08:00:00.0000000Z,2019-02-01T08:59:34.0000000Z,31.575,34.06755891,30.041782,31.23,40162.59577,1834
2019-02-01T09:00:00.0000000Z,2019-02-01T10:00:00.0000000Z,2019-02-01T09:00:00.0000000Z,2019-02-01T09:59:54.0000000Z,32.188,34.11897801,26.00000031,31.68,12082.7155,839
2019-02-01T10:00:00.0000000Z,2019-02-01T11:00:00.0000000Z,2019-02-01T10:00:19.0000000Z,2019-02-01T10:59:55.0000000Z,31.2,34.43228072,31.06608,31.52,12936.79109,908
