time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-05-01T00:00:00.0000000Z,2019-05-01T01:00:00.0000000Z,2019-05-01T00:00:00.3480000Z,2019-05-01T00:59:47.6340000Z,73.52,81.36,70.53,77.816,85230.418447767,3712
2019-05-01T01:00:00.0000000Z,2019-05-01T02:00:00.0000000Z,2019-05-01T01:00:00.6830000Z,2019-05-01T01:59:52.0000000Z,73.83,90,70.35,71.86798076,67942.674781117,2340
2019-05-01T02:00:00.0000000Z,2019-05-01T03:00:00.0000000Z,2019-05-01T02:00:03.1290000Z,2019-05-01T02:59:52.0000000Z,73.1,98,71.19,77.468,47047.801222932,1644
2019-05-01T03:00:00.0000000Z,2019-05-01T04:00:00.0000000Z,2019-05-01T03:00:02.7240000Z,2019-05-01T03:59:57.8950000Z,73.31,78,70.8,72.96,57917.508058239,2098
2019-05-01T04:00:00.0000000Z,2019-05-01T05:00:00.0000000Z,2019-05-01T04:00:10.0000000Z,2019-05-01T04:59:56.0000000Z,72.98,78.101,69.74,72.52872868,49489.848983358,1874
2019-05-01T05:00:00.0000000Z,2019-05-01T06:00:00.0000000Z,2019-05-01T05:00:05.9450000Z,2019-05-01T05:59:57.2680000Z,73.09,78,70.9399862,73.23,51421.452434971,1389
2019-05-01T06:00:00.0000000Z,2019-05-01T07:00:00.0000000Z,2019-05-01T06:00:00.0000000Z,2019-05-01T06:59:58.4960000Z,77.445,78,70.21,73.58,54781.990111762,1678
2019-05-01T07:00:00.0000000Z,2019-05-01T08:00:00.0000000Z,2019-05-01T07:00:01.0000000Z,2019-05-01T07:59:53.3050000Z,73.99,78.39,71.09,72.99,46652.003711276,1371
2019-05-01T08:00:00.0000000Z,2019-05-01T09:00:00.0000000Z,2019-05-01T08:00:00.0000000Z,2019-05-01T08:59:53.0620000Z,77.218,78.79132795,67.96,75.9275,62538.928768419,2157
2019-05-01T09:00:00.0000000Z,2019-05-01T10:00:00.0000000Z,2019-05-01T09:00:07.0000000Z,2019-05-01T09:59:56.0000000Z,76.327,78.01299983,70.49,72.07241753,45572.988994533,1313
